kyhmyjoutsen
mustajoutsen
pikkujoutsen
laulujoutsen
metsähanhi
taigametsähanhi
tundrametsähanhi
lyhytnokkahanhi
tundrahanhi
kiljuhanhi
merihanhi
tiibetinhanhi
lumihanhi
eskimohanhi
joutsenhanhi
kanadanhanhi
pikkukanadanhanhi
valkoposkihanhi
sepelhanhi
punakaulahanhi
afrikanhanhi
ruostesorsa
ristisorsa
morsiosorsa
mandariinisorsa
haapana
amerikanhaapana
sirppisorsa
tavi
amerikantavi
sinisorsa
nokisorsa
jouhisorsa
heinätavi
sinisiipitavi
lapasorsa
patagonianhaapana
valkoposkisorsa
punatavi
punapäänarsku
punasotka
amerikantukkasotka
ruskosotka
tukkasotka
lapasotka
pikkulapasotka
haahka
kyhmyhaahka
allihaahka
virta-alli
alli
mustalintu
amerikanmustalintu
pilkkaniska
pilkkasiipi
kyhmypilkkasiipi
pikkutelkkä
telkkä
harjakoskelo
uivelo
tukkakoskelo
isokoskelo
kuparisorsa
pyy
riekko
kiiruna
teeri
metso
vuoripyy
peltopyy
viiriäinen
japaninviiriäinen
fasaani
kultafasaani
helmikana
kaakkuri
kuikka
tundrakuikka
amerikanjääkuikka
jääkuikka
pikku-uikku
silkkiuikku
härkälintu
mustakurkku-uikku
mustakaulauikku
myrskylintu
nokiliitäjä
pikkuliitäjä
merikeiju
myrskykeiju
madeirankeiju
suula
merimetso
karimetso
pelikaani
kaulushaikara
pikkuhaikara
yöhaikara
rääkkähaikara
kiinanriisihaikara
lehmähaikara
silkkihaikara
jalohaikara
harmaahaikara
ruskohaikara
mustahaikara
savannihaikara
kattohaikara
pronssi-iibis
kapustahaikara
flamingo
pikkuflamingo
chilenflamingo
mehiläishaukka
haarahaukka
isohaarahaukka
aromerikotka
merikotka
kuningasmerikotka
pikkukorppikotka
hanhikorppikotka
munkkikorppikotka
käärmekotka
ruskosuohaukka
sinisuohaukka
arosuohaukka
niittysuohaukka
kanahaukka
varpushaukka
hiirihaukka
arohiirihaukka
piekana
pikkukiljukotka
kiljukotka
arokotka
keisarikotka
maakotka
pikkukotka
sääksi
pikkutuulihaukka
tuulihaukka
punajalkahaukka
ampuhaukka
nuolihaukka
välimerenhaukka
aavikkohaukka
tunturihaukka
muuttohaukka
luhtakana
luhtahuitti
amerikanhuitti
pikkuhuitti
kääpiöhuitti
ruisrääkkä
liejukana
kurnuliejukana
nokikana
kurki
hietakurki
neitokurki
pikkutrappi
idänkaulustrappi
isotrappi
paksujalka
pitkäjalka
avosetti
meriharakka
siperiankurmitsa
amerikankurmitsa
kapustarinta
tundrakurmitsa
arohyyppä
suohyyppä
töyhtöhyyppä
pikkutylli
tylli
mustajalkatylli
ylänkötylli
aavikkotylli
kaspiantylli
gobintylli
keräkurmitsa
taigakuovi
pikkukuovi
kuovi
mustapyrstökuiri
punakuiri
karikukko
isosirri
suokukko
suippopyrstösirri
jänkäsirriäinen
kuovisirri
pitkäkoipisirri
rusokaulasirri
siperiansirri
lapinsirri
pulmussirri
suosirri
etelänsuosirri
merisirri
eskimosirri
pikkusirri
valkoperäsirri
amerikansirri
tundravikla
palsasirri
amerikanvesipääsky
vesipääsky
isovesipääsky
rantakurvi
rantasipi
amerikansipi
metsäviklo
mustaviklo
valkoviklo
keltajalkaviklo
preeriaviklo
lampiviklo
liro
punajalkaviklo
jänkäkurppa
tundrakurppelo
lehtokurppa
